[INFO] [1781617343.087341651] [navigation_fusion]: Navigation fusion node initialized
[INFO] [1781617343.087377248] [navigation_fusion]: GNSS timeout: 2.0 sec, Min satellites: 8
[WARN] [1781617343.107414170] [navigation_fusion]: GNSS lost! Switching to odometry mode (time: 0.0 sec)
[INFO] [1781617583.627424325] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 120.22 m | Time: 240.5 sec
[INFO] [1781617588.627441349] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 122.72 m | Time: 245.5 sec
[INFO] [1781617593.647435790] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 125.23 m | Time: 250.6 sec
[INFO] [1781617598.667424487] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 127.74 m | Time: 255.6 sec
[INFO] [1781617603.667424555] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 130.24 m | Time: 260.6 sec
[INFO] [1781617608.667434805] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 132.74 m | Time: 265.6 sec
[INFO] [1781617613.687423866] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 135.25 m | Time: 270.6 sec
[INFO] [1781617618.707431524] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 137.76 m | Time: 275.6 sec
[INFO] [1781617623.707436720] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 140.26 m | Time: 280.6 sec
[INFO] [1781617628.707448171] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 142.76 m | Time: 285.6 sec
[INFO] [1781617633.727436692] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 145.27 m | Time: 290.6 sec
[INFO] [1781617638.727472777] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 147.77 m | Time: 295.6 sec
[INFO] [1781617643.747423105] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 150.28 m | Time: 300.7 sec
[INFO] [1781617648.747435285] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 152.78 m | Time: 305.7 sec
[INFO] [1781617653.767431231] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 155.29 m | Time: 310.7 sec
[INFO] [1781617658.767435120] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 157.79 m | Time: 315.7 sec
[INFO] [1781617663.787432106] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 160.30 m | Time: 320.7 sec
[INFO] [1781617668.807420276] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 162.81 m | Time: 325.7 sec
[INFO] [1781617673.807431078] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 165.31 m | Time: 330.7 sec
[INFO] [1781617678.807430678] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 167.81 m | Time: 335.7 sec
[INFO] [1781617683.827438712] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 170.32 m | Time: 340.7 sec
[INFO] [1781617688.847423985] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 172.83 m | Time: 345.8 sec
[INFO] [1781617693.867433178] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 175.34 m | Time: 350.8 sec
[INFO] [1781617698.887422263] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 177.85 m | Time: 355.8 sec
[INFO] [1781617703.887423957] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 180.35 m | Time: 360.8 sec
[INFO] [1781617708.907423489] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 182.86 m | Time: 365.8 sec
[INFO] [1781617713.907432906] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 185.36 m | Time: 370.8 sec
